training_size,head,seed,pearson_delta
200,mean_rich_stats_residual,33,0.08933362052008553
200,mean_rich_stats_residual,34,0.061800532841734146
200,mean_rich_stats_residual,35,0.06674595816945039
200,mean_rich_stats_residual,36,0.09002703916607113
200,mean_rich_stats_residual,37,0.08565432360798642
200,mean_rich_stats_residual,38,0.08804234825344104
200,mean_rich_stats_residual,39,0.08034923477468148
200,mean_rich_stats_residual,40,0.08285580497814282
200,mean_rich_stats_residual,41,0.05957910871514227
200,mean_rich_stats_residual,42,0.07201585131806121
400,mean_rich_stats_residual,33,0.052919524052890576
400,mean_rich_stats_residual,34,0.04946521601367215
400,mean_rich_stats_residual,35,0.05190855003221728
400,mean_rich_stats_residual,36,0.0656786170600977
400,mean_rich_stats_residual,37,0.05931452051409958
400,mean_rich_stats_residual,38,0.0593494719562091
400,mean_rich_stats_residual,39,0.055173118728839454
400,mean_rich_stats_residual,40,0.05643163318987943
400,mean_rich_stats_residual,41,0.045321450023431686
400,mean_rich_stats_residual,42,0.059604887403042595
800,mean_rich_stats_residual,33,0.036840103084056275
800,mean_rich_stats_residual,34,0.027124361639224936
800,mean_rich_stats_residual,35,0.026729523218067874
800,mean_rich_stats_residual,36,0.034015936441356476
800,mean_rich_stats_residual,37,0.03336976822933846
800,mean_rich_stats_residual,38,0.032240692988212194
800,mean_rich_stats_residual,39,0.027809384523785785
800,mean_rich_stats_residual,40,0.029765651256226655
800,mean_rich_stats_residual,41,0.02581563600451975
800,mean_rich_stats_residual,42,0.03801089872042651
200,mean_mlp_residual_matched(hidden_dim=4),33,0.022516934399567257
200,mean_mlp_residual_matched(hidden_dim=4),34,0.051224754722335564
200,mean_mlp_residual_matched(hidden_dim=4),35,0.08392404947674614
200,mean_mlp_residual_matched(hidden_dim=4),36,0.05054620952177258
200,mean_mlp_residual_matched(hidden_dim=4),37,0.061289220129939204
200,mean_mlp_residual_matched(hidden_dim=4),38,0.06846736633149031
200,mean_mlp_residual_matched(hidden_dim=4),39,0.057318476092725223
200,mean_mlp_residual_matched(hidden_dim=4),40,0.07412608567641066
200,mean_mlp_residual_matched(hidden_dim=4),41,0.03184997091755071
200,mean_mlp_residual_matched(hidden_dim=4),42,0.05634247694865324
400,mean_mlp_residual_matched(hidden_dim=4),33,0.045523759629976346
400,mean_mlp_residual_matched(hidden_dim=4),34,0.043972613238663416
400,mean_mlp_residual_matched(hidden_dim=4),35,0.06228744972459088
400,mean_mlp_residual_matched(hidden_dim=4),36,0.061509421376998774
400,mean_mlp_residual_matched(hidden_dim=4),37,0.04582041945198523
400,mean_mlp_residual_matched(hidden_dim=4),38,0.05308144009598892
400,mean_mlp_residual_matched(hidden_dim=4),39,0.04328544779317223
400,mean_mlp_residual_matched(hidden_dim=4),40,0.05256408094637299
400,mean_mlp_residual_matched(hidden_dim=4),41,0.0295762947034397
400,mean_mlp_residual_matched(hidden_dim=4),42,0.05403508457276396
800,mean_mlp_residual_matched(hidden_dim=4),33,0.01338074206414297
800,mean_mlp_residual_matched(hidden_dim=4),34,0.01355035766415158
800,mean_mlp_residual_matched(hidden_dim=4),35,0.026693906940475465
800,mean_mlp_residual_matched(hidden_dim=4),36,0.02274359484634636
800,mean_mlp_residual_matched(hidden_dim=4),37,0.004397461156891214
800,mean_mlp_residual_matched(hidden_dim=4),38,0.014259104801411904
800,mean_mlp_residual_matched(hidden_dim=4),39,0.0072763937038828885
800,mean_mlp_residual_matched(hidden_dim=4),40,0.023355801755219563
800,mean_mlp_residual_matched(hidden_dim=4),41,0.015830633447962983
800,mean_mlp_residual_matched(hidden_dim=4),42,0.03070056950572475
